FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
50,CSE Asia,China,Nalong & Pingmon (b4 int),23.3234,105.7117,Other,2,,,1990,1990,7,N,29,18920,1.533,0.427,0.186,1.065,2.206,0.468,0.673,524,25,0.0,99.0,4.700,6.160,1.055,6.160,44,44,,
51,CSE Asia,India,Anandpur,28.5060,77.6170,Combination,2,597783481,2998,2004,2006,14,N,67,2000,67.000,4.205,0.122,52.733,85.127,14.267,18.127,692,39,0.0,99.0,5.636,7.387,1.707,7.387,31,31,,
52,CSE Asia,India,Beel Akbarpur,28.4880,77.6090,Combination,2,-2066051688,2998,2004,2006,14,N,18,3600,10.000,2.303,0.236,6.300,15.872,3.700,5.872,703,12,0.0,99.0,1.707,2.237,1.479,2.237,31,31,,
53,CSE Asia,India,Khandera,28.5230,77.6370,Combination,2,996720979,2998,2004,2006,14,N,3,4000,1.500,0.405,0.577,0.484,4.651,1.016,3.151,715,0,0.0,99.0,0.000,0.007,1.802,0.007,31,31,,
54,CSE Asia,India,Mubarakpur (control),28.6830,77.5320,Combination,3,,,1999,2000,14,N,28,1020,54.902,4.006,0.189,37.907,79.516,16.995,24.614,,,,,,,7.399,7.399,35,"31, 4",,
55,CSE Asia,India,Shiddhipur (UTnets),28.6500,77.6500,Combination,3,,,1999,2000,14,N,14,1950,14.359,2.664,0.267,8.504,24.245,5.855,9.886,,,,,,,10.787,10.787,35,"31, 4",,
56,CSE Asia,India,Piyawali (Control),28.5490,77.5540,Combination,3,80104792,744,1999,2000,7,N,82,6520,12.577,2.532,0.110,10.129,15.616,2.448,3.039,,,,,,,7.162,7.162,36,"31, 4",,
57,CSE Asia,India,Jadoanpur (Control),28.6500,77.6500,Combination,3,,,1995,1996,7,N,19,693,27.417,3.311,0.229,17.488,42.984,9.929,15.567,,,,,,,19.412,19.412,34,"31, 4",,
58,CSE Asia,India,Sundargarh (plains),22.2474,84.7465,GPS,1,1701189601,749,2001,2003,7,Y,210,6489,32.362,3.477,0.069,28.268,37.049,4.094,4.687,7053,89,0.0,99.0,1.262,1.654,1.765,1.654,37,37,,
59,CSE Asia,India,Sundargarh (forest),22.0073,84.8111,GPS,1,-1201966277,749,2001,2003,7,Y,1828,6174,296.080,5.691,0.023,282.814,309.969,13.267,13.889,7807,833,0.0,99.0,10.670,13.986,12.408,13.986,37,37,,
60,CSE Asia,India,Sundargarh (plains II),22.2389,84.7428,GPS,1,2117286808,749,2001,2001,7,Y,86,2163,39.760,3.683,0.108,32.185,49.117,7.575,9.357,3002,57,0.0,99.0,1.899,2.489,2.439,2.489,39,39,,
61,CSE Asia,India,Sundargarh (forest II),22.0076,84.8150,GPS,1,198523199,749,2001,2001,7,Y,611,2058,296.890,5.693,0.040,274.258,321.390,22.632,24.500,3134,340,0.0,99.0,10.849,14.220,15.043,14.220,39,39,,
62,CSE Asia,India,Banganatham,13.1040,77.9820,Combination,3,,,1994,1994,14,Y,1,390,2.564,0.942,1.000,0.361,18.203,2.203,15.639,,,,,,,11.198,11.198,40,4,,
63,CSE Asia,India,Bodapatti,13.1410,78.1360,Combination,3,,,1994,1996,14,Y,3,1188,2.525,0.926,0.577,0.814,7.830,1.711,5.305,,,,,,,8.881,8.881,40,4,,
64,CSE Asia,India,Puram,13.1480,78.2960,Combination,3,,,1994,1996,14,Y,15,1194,12.563,2.531,0.258,7.574,20.839,4.989,8.276,,,,,,,11.251,11.251,40,4,,
65,CSE Asia,India,Jeypore (Riverine),19.1811,82.5268,Combination,3,1409139147,808,1988,1989,14,N,114,2441,93.404,4.537,0.094,77.740,112.225,15.665,18.821,1804,39,0.0,99.0,2.162,2.834,32.222,2.834,41,42,,
66,CSE Asia,India,Jeypore (Top hill),18.9827,82.7162,Combination,3,2071425712,808,1988,1989,14,N,64,1234,103.728,4.642,0.125,81.188,132.525,22.540,28.797,6259,160,0.0,99.0,2.556,3.351,32.181,3.351,41,42,,
